gene_id,SRR10229809,SRR10229810,SRR10229811,SRR10229812,SRR10229813,SRR10229814,SRR10229815,SRR10229816
gene_884,448,177,371,127,2235,329,155,1398
gene_885,42,18,57,16,585,63,36,340
gene_886,592,298,403,179,2621,474,176,1459
gene_887,2396,845,1667,641,10269,1774,684,6280
gene_888,1223,590,963,453,10706,1113,412,6823
gene_889,159,42,118,56,1145,153,50,651
gene_891,784,353,543,178,4066,553,192,2626
gene_892,6,0,1,0,29,6,0,18
gene_893,13,6,0,0,22,0,0,16
gene_894,19,4,11,6,41,10,5,25
gene_896,10,0,0,0,11,0,0,0
gene_898,3,0,0,0,0,0,0,0
gene_899,8,4,37,11,103,19,6,114
gene_900,60,23,37,17,378,82,22,192
gene_903,2,0,4,0,4,0,3,7
gene_904,7,9,0,0,15,0,0,8
gene_905,683,221,478,168,3855,333,171,2486
gene_906,21,8,45,12,86,11,5,78
gene_907,120,25,85,45,528,90,54,326
gene_911,336,118,78,37,818,287,130,456
gene_912,31,10,18,7,161,14,0,77
gene_913,657,293,704,283,5181,608,235,2904
gene_914,2062,939,1468,680,10967,1902,892,7395
gene_917,577,272,501,207,3797,441,156,2340
gene_918,4,0,0,0,24,0,0,27
gene_919,172,64,118,43,1113,140,45,937
gene_920,7,0,10,0,12,4,1,16
gene_921,10,4,0,0,51,8,0,22
gene_922,17,2,9,0,81,2,13,69
gene_923,488,179,337,166,2720,339,156,2175
gene_924,112,51,78,55,782,102,19,603
gene_925,86,45,96,30,1038,78,31,642
gene_926,914,360,506,251,3526,727,394,3015
gene_927,846,322,663,270,5152,564,246,3162
gene_928,200,41,146,43,1849,182,71,1134
gene_929,159,56,81,34,1069,96,56,575
gene_930,37,18,23,6,131,37,18,69
gene_932,186,101,136,45,1291,184,49,717
gene_933,264,83,155,60,1010,214,69,704
gene_934,222,93,152,53,1347,156,67,780
gene_935,1717,739,1221,548,8579,1519,594,5193
gene_936,28,9,0,0,53,14,2,11
gene_937,1224,431,934,520,7860,876,343,5528
gene_938,1139,556,580,289,4432,900,295,3088
gene_939,278,121,179,96,1650,233,61,806
gene_940,9,0,3,0,37,0,0,25
gene_941,1066,451,600,276,4607,841,349,1600
gene_942,279,72,188,81,1394,192,80,1031
gene_943,214,73,101,41,531,126,41,470
gene_944,1177,400,927,360,7098,922,389,4117
gene_945,8048,3411,5170,2188,40307,6144,2630,31097
gene_946,828,265,559,214,4004,557,262,2511
gene_947,822,350,379,119,3034,535,225,1714
gene_948,3702,1451,2390,1023,21237,2521,1093,14612
gene_949,49,15,22,4,128,32,4,99
gene_950,330,136,187,87,1344,284,118,817
gene_951,316,168,189,76,1078,184,92,481
gene_952,723,365,339,161,2678,579,239,1635
gene_953,198,79,98,37,1132,142,53,647
