"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene_13324",312.01430616022,1.42960842606503,0.185603345252062,7.70249277632106,1.33437163723383e-14,1.18759075713811e-12
"gene_86",835.271477856016,0.914802492865549,0.119108078359036,7.68044036532932,1.58542638573163e-14,1.39936808261271e-12
"gene_5763",2992.71546117992,-0.858821345154373,0.111840848320901,-7.67895950404622,1.60385922045255e-14,1.40403413724862e-12
"gene_10492",1311.78449075464,0.74098272484919,0.0970519434556883,7.63490867328696,2.25980557561422e-14,1.96217264614308e-12
"gene_6726",3172.81737889003,-0.895757620082856,0.117519942902147,-7.62217541944103,2.49435736448679e-14,2.14836585909023e-12
"gene_7041",1069.82684729601,0.913982810150411,0.120137612826419,7.60779899523208,2.7880298744776e-14,2.38209272475366e-12
"gene_192",1569.95808630451,-0.933026183464607,0.122782828964293,-7.59899565220106,2.9843780524459e-14,2.52961568254938e-12
"gene_2162",168.917364209577,2.05392297360891,0.272006992974408,7.5509932709787,4.31951161778365e-14,3.63247118723853e-12
"gene_4334",89.5483677871022,3.23495473188387,0.429875634864523,7.52532702371786,5.25885329007731e-14,4.35384132852912e-12
"gene_4630",1943.49863310738,-0.868677868930083,0.115428619625414,-7.52567146474677,5.24500726207265e-14,4.35384132852912e-12
"gene_5053",880.784693672429,-1.49539101222545,0.198857598251873,-7.51990884618542,5.48144454632631e-14,4.50321751959731e-12
"gene_6588",711.94615754179,2.23164308601376,0.297970315067551,7.48948124415629,6.91463641680239e-14,5.63727610163737e-12
"gene_347",723.935995571975,-1.03005344863583,0.137712340874874,-7.47974685559765,7.44659107701526e-14,5.97966862424985e-12
"gene_13111",457.569765342952,-1.13425940207776,0.151632943871912,-7.48029665002017,7.41550291567991e-14,5.97966862424985e-12
"gene_14527",440.412548272214,-0.99924678103741,0.13440127961048,-7.43480109663699,1.04725423414027e-13,8.34677255270005e-12
"gene_5282",1126.87906855409,-0.97813286880982,0.131721601855374,-7.42575898738139,1.12135021125606e-13,8.87112611571458e-12
"gene_5188",393.070624090876,1.58919673546952,0.214490685589241,7.40916432386675,1.27097744004595e-13,9.98091107330201e-12
"gene_5017",1903.56744768033,1.28178634877241,0.173068594740974,7.40623306435703,1.29937395343977e-13,1.0129426147983e-11
"gene_1596",2083.25224156517,-0.864483781565075,0.117390188631486,-7.36419109333645,1.78224240701702e-13,1.37930064543057e-11
"gene_6776",4829.68700957995,0.869701026171572,0.118351198448113,7.34847671654854,2.00478378681637e-13,1.54036624771214e-11
"gene_3487",1069.14541908885,1.16454720402292,0.159688669971091,7.29261007830887,3.04006993801077e-13,2.31913906699679e-11
"gene_9191",924.539855140962,1.20616204275366,0.165534969193803,7.28644858924962,3.18232147130008e-13,2.41043924209113e-11
"gene_125",163.667362657969,1.65745119194939,0.22770282124207,7.27901034738325,3.36277893204024e-13,2.51150202756572e-11
"gene_7530",948.259396770951,1.08742058465963,0.149384665550506,7.27933205628782,3.35477013776538e-13,2.51150202756572e-11
"gene_11387",138.870530881238,1.83571149265937,0.252717791857352,7.2638791244882,3.76144165039606e-13,2.78973589071041e-11
"gene_8977",122.465580078978,2.84648346994084,0.392403981340584,7.25396174681075,4.04754476278315e-13,2.98122607355339e-11
"gene_5911",1034.01179050505,-1.60857468899355,0.22199890249439,-7.2458677539372,4.29679212368017e-13,3.14313286855508e-11
"gene_6818",737.732756053375,-0.855752698598646,0.118256406733176,-7.23641722456101,4.60692620878031e-13,3.34707291903223e-11
"gene_12007",116.468016044375,3.82158814437074,0.52929282441024,7.22017750501137,5.19197579435103e-13,3.7466419921398e-11
"gene_7646",3014.90520744697,0.63481470406068,0.0879538968870087,7.21758474074439,5.29190194611572e-13,3.79312166339033e-11
"gene_4872",568.127579261713,-1.18476143119762,0.164217394045819,-7.21459159720349,5.4096084035326e-13,3.85164118331521e-11
"gene_2385",3468.05822562669,0.661322514559896,0.0916840396796489,7.21306038510746,5.47081388600953e-13,3.8694233312968e-11
"gene_7059",492.874914031266,-1.18672683295901,0.164548020210652,-7.21203957021044,5.51199499816591e-13,3.87290174871131e-11
"gene_8770",286.33654834444,-1.09647899156534,0.153389435362758,-7.14833449234767,8.78370691622887e-13,6.1313718866225e-11
"gene_15391",982.121902897363,1.23111946691047,0.172921752937492,7.11951761994629,1.08305441817656e-12,7.51105271826344e-11
"gene_12992",4597.75320667905,-0.853665156002135,0.120054723194082,-7.11063366180178,1.15511372279969e-12,7.95910616741977e-11
"gene_7888",533.820307453911,1.02245346743766,0.144068043011615,7.09701781230712,1.27477634383134e-12,8.72731496930685e-11
"gene_16313",306.824168660085,-1.59986381368497,0.226454227355146,-7.0648441072196,1.60796407197978e-12,1.09382524132128e-10
"gene_5939",854.765439713612,0.911683354656551,0.129793270875334,7.02411880452741,2.15421453576533e-12,1.45613995202365e-10
"gene_808",1915.2874214211,0.848895405208461,0.120976816674313,7.01700894886173,2.26668097265429e-12,1.52252533257534e-10
"gene_14205",971.423874186585,-1.09355815736302,0.155864075585874,-7.01610138996092,2.28144526203497e-12,1.52286471240835e-10
"gene_4322",90.1684799621778,-2.15439529719053,0.308224548698694,-6.9896940600165,2.75486317981974e-12,1.81163495003823e-10
"gene_6214",387.870749837157,1.42663186031912,0.204120023530753,6.98918134361363,2.76494847243662e-12,1.81163495003823e-10
"gene_8715",298.369040458898,-1.29674673526949,0.185495544427255,-6.99071634994464,2.7348619736109e-12,1.81163495003823e-10
"gene_14503",1639.33921430854,0.783073088525773,0.112448675045853,6.96382672545016,3.31151876943221e-12,2.15652563765463e-10
"gene_6728",182.367131682864,-1.32969152023333,0.191534820395731,-6.94229653640027,3.85776349650337e-12,2.48383425214413e-10
"gene_14908",126.57870521212,-1.63218189793892,0.235110478059592,-6.9421912260551,3.86064125333264e-12,2.48383425214413e-10
"gene_4791",1370.38494309527,0.719310919374877,0.103698202829257,6.93658038181482,4.01704724636514e-12,2.56898590366346e-10
"gene_10993",1326.60112675968,-0.84396500038676,0.121784908683686,-6.92996373285302,4.20948523365258e-12,2.67602989853629e-10
"gene_13284",3051.16249376937,0.810640812306193,0.117053683817211,6.92537633904863,4.34818019079599e-12,2.74784404956812e-10
"gene_8848",905.269144051383,-0.877477137832534,0.126867885745381,-6.91646378969062,4.63056706820463e-12,2.90908566402502e-10
"gene_126",490.241365588687,0.972049040200422,0.14074579606027,6.9064161588469,4.97050467548877e-12,3.10438537627018e-10
"gene_7602",676.61123457685,-0.958748923258024,0.13959716471955,-6.86796845182453,6.5122617641303e-12,4.03745065586628e-10
"gene_8614",2729.02217720363,-0.792078976351879,0.115339652855786,-6.8673605021358,6.5400652009819e-12,4.03745065586628e-10
"gene_1775",802.866815923138,-0.790040953671501,0.115081197873528,-6.86507412392198,6.64567368603601e-12,4.07906867625659e-10
"gene_9435",99.5329937023959,-1.98925924857697,0.290015600860897,-6.85914565517148,6.92735804433712e-12,4.22766765220117e-10
"gene_10736",1811.00230315245,-0.717126982170989,0.104818478313931,-6.84160840441888,7.83089114604032e-12,4.75192712725629e-10
"gene_2017",2362.10792964627,0.587121541080652,0.085918398299937,6.83347865763325,8.28798318218781e-12,5.00088476755739e-10
"gene_12393",817.420414500042,0.883067389731805,0.12929237166642,6.83000379952934,8.49123837137826e-12,5.09474302282696e-10
"gene_10507",1111.87380836645,-0.848243181070699,0.124559443358508,-6.80994678684682,9.76348529709814e-12,5.8253644118999e-10
"gene_6227",1410.8864689357,0.595812792018883,0.0876471215304879,6.7978592064958,1.06185148216904e-11,6.30031879420297e-10
"gene_1760",1485.92122802265,0.796077733100843,0.117395859213174,6.78113979859613,1.19231430748547e-11,7.03531315135073e-10
"gene_13852",3477.20762776544,-1.06245610141789,0.156762511801604,-6.77748837529804,1.22282987421936e-11,7.1757269542103e-10
