"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene_8908",84847.7518269764,-1.20528576983933,0.106422562522596,-11.325472167459,9.81485743335615e-30,1.12782637045993e-27
"gene_7941",3117.82911603472,-1.05152532685937,0.0931629333341839,-11.2869495326801,1.52228594754794e-29,1.72982426506365e-27
"gene_946",1011.10279115451,-0.967321387647421,0.085745548104845,-11.2813015838984,1.62326285730818e-29,1.82429771886711e-27
"gene_1199",37623.7492186709,-1.71919943042623,0.152449212033925,-11.2771945980518,1.7008371188944e-29,1.89070230597098e-27
"gene_1696",823.611722969766,1.50254205733702,0.133420917063037,11.261667888455,2.02882056574642e-29,2.23104816407404e-27
"gene_6843",1537.32710275938,-1.09459670315411,0.0976269417585281,-11.2120351558436,3.55914338398451e-29,3.87227227532017e-27
"gene_5112",137.817977381701,2.61454707885928,0.233327915838824,11.2054619330905,3.83348743722637e-29,4.12685010742253e-27
"gene_8907",7570.63677558006,-1.21044987017982,0.108071370451829,-11.2004674792142,4.0558756844342e-29,4.32077506507381e-27
"gene_2549",1670.56637267435,-1.16038629044303,0.103805672200281,-11.1784478231999,5.19913502013098e-29,5.4816034897814e-27
"gene_12132",3914.83048509032,-1.27303566620141,0.114545793751324,-11.1137705236487,1.07521457902411e-28,1.12206321425302e-26
"gene_1988",67818.7369233907,-1.41204873256283,0.127789428366487,-11.0498086626792,2.19682593792786e-28,2.26938776436245e-26
"gene_4902",661.066398296382,1.57303107245041,0.144257026844391,10.9043635991974,1.09859292168344e-27,1.12353098100565e-25
"gene_10845",9241.89441891986,-1.52249067191905,0.140072290762403,-10.8693208601948,1.61397750352612e-27,1.63427207213482e-25
"gene_8748",39623.0126259086,-1.33281877116373,0.122714352153802,-10.8611482501514,1.76515569971395e-27,1.76982817068378e-25
"gene_5954",6484.64016099263,1.43120711589106,0.131854346795379,10.8544553188839,1.89935774464982e-27,1.8858962771392e-25
"gene_5983",1031.64134381686,0.901331482894726,0.0831638200703088,10.8380240606158,2.27327919466264e-27,2.23546406959757e-25
"gene_4551",1116.17966650691,-0.894743459519989,0.0827771850527963,-10.8090587877482,3.11853233293478e-27,3.03745049227848e-25
"gene_1549",99061.4371393309,-0.954964128149188,0.0886722296773669,-10.7695964297257,4.79096587528591e-27,4.62237811382538e-25
"gene_6880",3087.85963176606,-1.33652879570104,0.124303314266367,-10.7521573627315,5.78914975926101e-27,5.53323687737966e-25
