gene_id,SRR10229797,SRR10229798,SRR10229799,SRR10229800,SRR10229801,SRR10229802,SRR10229803,SRR10229804,SRR10229805
gene_11106,3,0,0,0,0,3,25,21,15
gene_11107,6,3,10,11,6,4,157,67,116
gene_11108,31,21,11,8,14,0,98,45,54
gene_11109,4,4,11,0,6,6,30,6,24
gene_11110,175,82,257,113,384,100,1623,845,1075
gene_11111,308,149,537,172,712,294,6785,4387,3476
gene_11113,12,26,21,10,30,7,93,71,50
gene_11117,9,0,10,0,0,9,8,10,4
gene_11118,22,6,12,8,48,8,414,246,284
gene_11123,34,4,33,15,30,17,156,78,117
gene_11124,115,46,90,33,87,14,164,85,89
gene_11125,1043,567,978,463,1180,365,5587,3210,3444
gene_11126,5928,2624,7245,3104,8646,3030,14982,9794,13667
gene_11127,3148,1335,4777,2028,5267,1788,16920,12167,13273
gene_11128,17,4,4,0,14,4,105,91,93
gene_11130,90,43,175,83,303,92,1242,931,958
gene_11131,75,29,75,42,140,53,185,141,162
gene_11134,2,3,16,3,2,2,44,26,17
gene_11135,7,0,0,0,0,0,3,12,16
gene_11143,20,0,11,33,42,15,117,65,102
gene_11144,854,347,982,433,1165,400,3839,2767,3058
gene_11145,75,40,56,32,55,24,271,137,150
gene_11148,415,146,488,210,980,369,4430,3101,2701
gene_11154,21,3,3,0,4,0,29,30,24
gene_11155,154,76,152,45,71,32,688,427,493
gene_11157,2925,1416,2237,942,517,185,940,660,619
gene_11159,46,31,76,43,139,39,265,208,237
gene_11161,21,25,25,18,30,10,206,157,140
gene_11163,4,0,5,0,4,0,10,9,4
gene_11164,43,25,46,28,20,10,218,148,184
gene_11165,10,14,11,9,11,0,148,104,86
gene_11169,205,76,215,111,258,87,847,746,768
gene_11903,0,0,19,5,0,0,39,4,7
gene_11906,3,0,0,0,0,0,14,4,0
gene_11908,41,11,55,29,40,6,251,174,198
gene_11913,26,0,4,8,8,0,147,109,88
gene_11917,0,0,0,0,0,0,0,0,0
gene_11916,109,33,108,29,108,22,689,364,494
gene_11918,46,16,49,15,62,21,364,144,77
gene_11919,48,11,60,12,62,7,281,173,194
gene_11922,2,0,0,0,0,0,0,0,0
gene_11923,6,0,23,0,7,7,51,18,37
gene_11924,75,48,50,19,49,39,369,180,204
gene_11925,38,24,77,29,178,35,513,174,122
gene_11928,151,66,161,72,211,72,955,458,477
gene_11926,37,11,52,29,109,32,1080,578,282
gene_11927,12913,5959,10941,4778,8162,2968,14548,11791,10598
gene_11929,29,21,84,22,62,23,565,262,402
gene_11930,2100,795,2447,1063,3680,1207,14173,7322,8328
gene_11931,1097,480,892,380,682,218,1878,1266,1413
gene_11932,5141,2394,5539,2520,5962,2179,16253,12678,11698
gene_11933,369,164,401,159,276,100,1620,1088,1001
gene_11934,4001,1667,3985,1817,4876,1781,18552,11842,12984
gene_11935,8544,3680,8525,3385,7739,2487,46063,30353,35510
gene_11945,192,98,146,62,87,40,1123,752,924
gene_11936,2511,1169,2272,964,1563,551,6771,4177,4866
gene_11937,339,137,449,186,603,197,2178,1474,1455
gene_11938,378,189,402,190,497,182,2094,1176,1173
gene_11939,6,0,52,10,26,9,286,141,133
gene_11957,115,35,77,32,56,38,997,620,503
gene_11959,10,4,0,0,0,0,0,0,0
gene_11960,377,138,279,113,211,67,1101,1107,762
gene_11962,231,89,317,114,390,140,1398,691,841
gene_11963,163,107,158,86,107,35,796,480,441
gene_11964,40,23,50,33,54,18,175,199,142
gene_12025,58,37,64,40,168,28,426,292,251
gene_12026,73,23,55,47,70,22,347,155,203
gene_12027,13,28,27,5,60,27,223,125,154
gene_12028,91,37,83,34,105,57,315,242,179
gene_12029,1536,644,2066,834,2592,810,3139,2652,2625
gene_12030,134,42,230,58,143,36,882,647,651
gene_12031,20,6,5,0,8,0,29,20,4
gene_12032,18,7,6,7,15,6,17,9,11
gene_12033,42,23,63,25,123,32,254,150,132
gene_11967,0,0,0,0,0,0,7,11,8
gene_11975,0,0,0,0,0,0,0,0,0
gene_11977,0,0,0,0,0,0,0,0,0
gene_11981,0,2,0,1,0,0,18,6,0
gene_11996,0,0,1,0,0,0,20,8,11
gene_11997,0,0,0,4,20,0,5,0,4
gene_12009,0,0,0,0,0,0,0,0,0
gene_12010,0,0,0,0,0,0,12,0,4
gene_12011,0,0,0,0,0,0,0,0,0
gene_12013,0,0,0,0,0,0,15,4,7
gene_12014,0,0,0,0,0,0,0,0,0
gene_12015,0,0,12,4,8,0,30,27,22
gene_12017,0,0,0,0,0,0,0,3,0
gene_12019,0,0,0,0,0,0,7,7,0
gene_12020,0,0,0,0,0,0,6,4,12
gene_11965,473,351,601,231,675,221,3560,2207,2922
gene_11966,34,24,41,16,37,7,183,130,178
gene_11968,92,33,69,0,91,40,223,171,139
gene_11969,4640,1907,6173,2650,7195,2737,28794,21739,22997
gene_11970,124,51,156,47,94,27,909,615,692
gene_11971,949,484,905,331,628,210,2389,1625,1695
gene_11972,83,32,81,27,45,27,376,197,250
gene_11973,108,44,132,35,116,38,456,223,247
gene_11974,771,328,1055,315,1227,414,3017,1930,2095
gene_11976,3,0,0,0,0,0,7,6,0
gene_11978,1059,428,1147,473,1238,390,5113,3205,3636
gene_11979,125,73,125,53,221,106,192,204,133
gene_11980,421,235,403,155,378,149,1752,1073,1110
gene_11982,29,22,15,6,52,23,184,64,57
gene_11983,224,84,214,107,337,155,1396,669,926
gene_11985,10,0,16,0,10,9,57,28,48
gene_11986,34,8,40,19,29,13,116,106,92
gene_11987,1695,796,1900,750,3188,1098,5778,3875,4472
gene_11988,97,60,146,41,257,95,1710,747,669
gene_11989,3,0,5,0,0,0,12,0,5
gene_11990,1108,533,1313,465,1477,451,5977,2942,4441
gene_11991,390,226,416,167,491,159,1881,1191,1447
gene_11992,16,7,26,8,29,0,94,97,53
gene_11993,28,5,55,30,94,37,374,145,198
gene_11994,306,136,388,125,531,114,2121,1146,1488
gene_11995,375,128,601,241,923,248,1338,905,998
gene_11999,1652,788,1550,682,1145,465,2953,1436,1774
gene_12000,33,7,7,6,81,16,210,155,56
gene_12001,18,11,44,6,17,3,268,129,210
gene_12002,453,191,563,229,570,160,5658,2988,3618
gene_12004,80,30,74,40,97,25,350,220,243
gene_12006,228,109,229,105,255,99,1628,921,1007
gene_12007,567,214,755,312,969,272,3373,2034,2422
gene_12008,996,447,913,507,1023,318,3710,2219,2434
